timestamps,open,high,low,close,volume
2022-01-03,323.7399695838111,326.2982189585862,318.36279955576714,323.1607360839844,28865100
2022-01-04,323.2379929252775,323.5952080741863,314.82954604404773,317.6195068359375,32674300
2022-01-05,314.5785047925629,314.78125567055275,305.0405814422899,305.4267272949219,40054300
2022-01-06,302.3086289546871,307.6665036436116,300.7060952138819,303.01336669921875,39646100
2022-01-07,303.27393271968896,305.54258020265945,299.35449471125537,303.1677551269531,32720000
2022-01-10,298.77528825214137,303.82423357931884,294.1414784951119,303.3898010253906,44289500
2022-01-11,302.530734288099,305.6488922679374,299.16156812621,304.0753479003906,29386800
2022-01-12,308.60289772987363,312.2134078663537,306.10253873709456,307.2513427734375,34372200
2022-01-13,309.3750631177134,309.7708721118795,293.4752670438378,294.24755859375,45366000
2022-01-14,293.71673416868725,300.05928501415605,293.2340443836935,299.46075439453125,39846400
2022-01-18,293.54290976278105,299.0745146536486,291.2935593504582,292.17205810546875,42333200
2022-01-19,295.6860967924291,303.04228390568943,292.2203879053098,292.82855224609375,45933900
2022-01-20,298.36989546394483,300.86056199781444,290.7144419109229,291.15850830078125,35380700
2022-01-21,292.2107112599279,293.58153359567393,285.37580818130317,285.7812805175781,57984400
2022-01-24,282.08388134377833,286.82386842126607,266.49297997417904,286.1094970703125,85731500
2022-01-25,281.42744884707827,284.77731721920185,275.2973119894379,278.5023498535156,72848600
2022-01-26,297.32719208033615,297.81954500203807,282.8851245004796,286.4377136230469,90428900
2022-01-27,292.18175832051594,296.6611038089516,287.6155027527548,289.4593811035156,53481300
2022-01-28,289.83586478628683,297.80024475160536,284.2559730920568,297.5878601074219,49743700
2022-01-31,298.25399547736595,301.5652399492526,295.76329997634053,300.2137145996094,46444500
2022-02-01,299.66348813934843,299.87587283189384,294.56628497930495,298.07061767578125,40950400
2022-02-02,298.9104284628024,304.21035194352163,298.1863939124947,302.6078186035156,36636000
2022-02-03,298.7752738080084,300.4550540690847,289.57520891247447,290.820556640625,43730000
2022-02-04,289.8166003905514,298.10920758842764,289.584918714947,295.3482360839844,35096500
2022-02-07,295.57022651592763,297.18239363022644,289.5172787684884,290.53094482421875,28533300
2022-02-08,290.8205570951065,294.9813401359987,289.5655756040924,294.0159606933594,32421200
2022-02-09,299.14215544071413,301.1308349501558,296.74803301981893,300.4357604980469,31284700
2022-02-10,293.5140020692782,298.41811714419794,290.289637957717,291.9114685058594,45386200
2022-02-11,292.69346087944797,293.75538439550695,284.0340041683453,284.82562255859375,39175600
2022-02-14,283.59946859758975,286.4859727609208,281.2632671712976,284.7868957519531,36359500
2022-02-15,289.62349961792046,290.3861281751453,286.7369950149994,290.06756591796875,27058300
2022-02-16,288.6358951130052,291.0543344654578,284.0989005260468,289.7290344238281,29982100
2022-02-17,286.6914169855192,287.1170646088115,280.53892237568306,281.2451171875,32461600
2022-02-18,283.4894271936835,284.2729991216109,276.9693246500047,278.5364685058594,34264000
2022-02-22,275.70205013593005,282.02869492098785,275.21836232867406,278.33331298828125,41736100
2022-02-23,280.71306989618563,282.18349983515145,270.9619359564501,271.1263732910156,37811200
2022-02-24,263.61957404294975,285.5306287899003,262.6618519792794,284.9792175292969,56989700
2022-02-25,285.51128484773926,287.92004094921725,282.1351235020053,287.6104736328125,32546700
2022-02-28,284.7083518645938,289.3807932241622,283.4410920061188,289.0422058105469,34627500
2022-03-01,286.7301918975132,290.183730717444,282.6188445943482,285.3275146484375,31217800
2022-03-02,285.72401365770156,291.634693317186,284.1181963061909,290.3964538574219,31873000
2022-03-03,293.0084798692605,293.2406406218667,284.4568515366766,286.265869140625,27314500
2022-03-04,284.68903114664965,286.01433126307614,277.80132020565253,280.4035339355469,32356500
2022-03-07,279.1168784545169,280.2390376841762,269.4431225318955,269.81072998046875,43157200
